id,labels
0,"65,64"
1,"17,18"
2,"81,466"
3,"370,373"
4,"220,10"
5,"369,206"
6,"370,476"
7,"148,126"
8,"49,181"
9,"148,42"
10,"205,59"
11,"437,146"
12,"199,329"
13,"252,27,429"
14,"71,284"
15,"98,405"
16,"65,67"
17,"123,29"
18,"65,64"
19,"67,220"
20,"32,181"
21,"27,509"
22,"6,133,5"
23,"315,151"
24,"278,483"
25,"131,159,142"
26,"126,191"
27,"65,64"
28,"17,18"
29,"287,20"
30,"405,164"
31,"35,33"
32,"40,131,142"
33,"32,89"
34,"220,454"
35,"148,48"
36,"190,154"
37,"62,69"
38,"294,472"
39,"155,307"
40,"507,296"
41,"22,228"
42,"148,32"
43,"291,387"
44,"61,12,72"
45,"155,250"
46,"17,148"
47,"419,127"
48,"71,186"
49,"322,283"
50,"82,307"
51,"148,29"
52,"67,220"
53,"75,419"
54,"114,301"
55,"148,244"
56,"65,64,90"
57,"190,290"
58,"67,231"
59,"28,330"
60,"268,151"
61,"64,65"
62,"252,400,280"
63,"99,188"
64,"439,479"
65,"22,340"
66,"131,142"
67,"170,65"
68,"17,18"
69,"110,278"
70,"65,64,299"
71,"64,145"
72,"224,288"
73,"288,40"
74,"220,67"
75,"365,223"
76,"199,148"
77,"27,501"
78,"49,334"
79,"220,372"
80,"65,64"
81,"17,18"
82,"61,12,72"
83,"306,32"
84,"49,406"
85,"88,186"
86,"131,142"
87,"124,288"
88,"289,89"
89,"329,356"
90,"370,220"
91,"220,221"
92,"257,216"
93,"294,472"
94,"486,131"
95,"145,288"
96,"49,384"
97,"155,248"
98,"54,145"
99,"89,440"
100,"231,467"
101,"88,106"
102,"405,336"
103,"225,156"
104,"129,128"
105,"501,276"
106,"190,154"
107,"49,181"
108,"403,2"
109,"369,206,8"
110,"6,133,5"
111,"289,199"
112,"176,294"
113,"187,34"
114,"220,65"
115,"199,259"
116,"485,313"
117,"8,405"
118,"83,115"
119,"276,501"
120,"32,148"
121,"383,341"
122,"69,62"
123,"32,527"
124,"122,435"
125,"148,373"
126,"229,300"
127,"496,136"
128,"363,321"
129,"59,205"
130,"65,83,64"
131,"169,251"
132,"82,197"
133,"250,288"
134,"20,28"
135,"73,145"
136,"373,314"
137,"346,370"
138,"383,414"
139,"171,170"
140,"288,40,395"
141,"112,199"
142,"329,356"
143,"190,434"
144,"12,61,72"
145,"61,12,221"
146,"7,294"
147,"329,356"
148,"79,64"
149,"196,302"
150,"295,218"
151,"63,199"
152,"294,7,472"
153,"276,471,490"
154,"199,186"
155,"511,289"
156,"131,142,486"
157,"496,73"
158,"42,288"
159,"199,246"
160,"73,496"
161,"82,387"
162,"275,155"
163,"405,336"
164,"522,479"
165,"328,179"
166,"489,90,65"
167,"65,64"
168,"44,511"
169,"151,186"
170,"100,144"
171,"148,321"
172,"370,220"
173,"294,472"
174,"329,199"
175,"377,410"
176,"369,206"
177,"82,410"
178,"197,459"
179,"381,357"
180,"148,154"
181,"148,154"
182,"511,341"
183,"148,154"
184,"362,399"
185,"49,65"
186,"449,321,361"
187,"236,295"
188,"65,64,335"
189,"104,289"
190,"190,186"
191,"199,169"
192,"26,220"
193,"88,129"
194,"199,311"
195,"199,259"
196,"25,145"
197,"315,324,268"
198,"40,131"
199,"199,350"
200,"306,134"
201,"290,514"
202,"32,20"
203,"70,195"
204,"199,65"
205,"199,259"
206,"32,43"
207,"25,49"
208,"444,291"
209,"64,145"
210,"9,178"
211,"235,453"
212,"383,340"
213,"412,68"
214,"297,384"
215,"181,371"
216,"32,180"
217,"382,91"
218,"148,154"
219,"196,160"
220,"220,67"
221,"414,27"
222,"294,472"
223,"199,529"
224,"302,315"
225,"190,122"
226,"65,64"
227,"69,233"
228,"57,331,228"
229,"17,288"
230,"67,54"
231,"17,45"
232,"9,524"
233,"217,203"
234,"83,115,146"
235,"131,134,486"
236,"32,148"
237,"199,370"
238,"220,402"
239,"43,181"
240,"27,353"
241,"429,409"
242,"151,199"
243,"131,226"
244,"352,469"
245,"243,129"
246,"62,153"
247,"199,143"
248,"18,17"
249,"129,40"
250,"62,264"
251,"383,220"
252,"32,148"
253,"425,515"
254,"32,148"
255,"67,89"
256,"33,148"
257,"77,243"
258,"129,417"
259,"44,511"
260,"65,64"
261,"294,472"
262,"65,64"
263,"148,154"
264,"395,148"
265,"288,40"
266,"345,42"
267,"91,199"
268,"65,64"
269,"302,496"
270,"148,154"
271,"131,142,486"
272,"32,49"
273,"91,190"
274,"37,477"
275,"65,64,524"
276,"32,20"
277,"148,154"
278,"246,118"
279,"132,406"
280,"63,500"
281,"220,54"
282,"276,269,327"
283,"148,154"
284,"374,190"
285,"472,294"
286,"65,64"
287,"402,524"
288,"65,64,299"
289,"289,79"
290,"373,314"
291,"181,43"
292,"62,69,44"
293,"49,508"
294,"472,371"
295,"288,40,395"
296,"151,315"
297,"189,175"
298,"329,199"
299,"18,17"
300,"364,15"
301,"170,199"
302,"91,152"
303,"286,148"
304,"170,169"
305,"469,352"
306,"39,226"
307,"27,501"
308,"65,64"
309,"132,435"
310,"291,509"
311,"116,447"
312,"148,154"
313,"49,190"
314,"17,18"
315,"355,424"
316,"307,155"
317,"6,133,5"
318,"382,282"
319,"199,169"
320,"212,403,211"
321,"151,315"
322,"32,190"
